variable,count,mean,std,min,25%,50%,75%,max
rest_exponent,6.0,1.226812829788487,0.16839084579715288,1.0088452758362387,1.1199802909319427,1.2269346228221962,1.3039453324783983,1.4842180412513009
rest_offset,6.0,-8.531835205565931,0.09031519604493966,-8.634503162421067,-8.614939535504904,-8.517558565964961,-8.454218914382785,-8.440885383170992
rest_alpha_power,6.0,2.4676722106741518e-08,1.6130281662313243e-08,3.076441631825753e-09,1.3175568136215634e-08,2.658874360902736e-08,3.7189692859882826e-08,4.237855153512224e-08
rest_alpha_relative_power,6.0,0.6308995974086216,0.1754533953198198,0.3044747629302488,0.5919479726278927,0.7201083609260688,0.7400707331036468,0.7447533993113364
rest_theta_power,6.0,1.7419442377862099e-09,6.265316807948803e-10,1.2037903345993811e-09,1.366709944816511e-09,1.4709757127645856e-09,1.963253355843599e-09,2.846623074218284e-09
rest_beta_power,6.0,4.0579532803860156e-09,2.513945858536554e-09,8.21949585305371e-10,2.362084887151511e-09,3.933287700052225e-09,5.838189826627308e-09,7.347686878569334e-09
task_theta_power_diff,6.0,-2.389255471087175e-11,7.78578716574954e-11,-1.6459567349486102e-10,-3.8959686097695633e-11,-1.0665889060040568e-11,2.2836984474136682e-11,5.695846614109655e-11
task_alpha_power_diff,6.0,2.5997356873220655e-10,4.6023577267845594e-10,-2.1796211724236955e-10,1.586035007096803e-11,6.919435579443828e-11,4.95398127655439e-10,1.0038664182744815e-09
task_beta_power_diff,6.0,4.056720324132379e-11,4.1109481944109305e-11,-5.6058406424509375e-12,5.7648096023223085e-12,4.485089397568106e-11,6.098722023131613e-11,1.0020516167796767e-10
task_gamma_power_diff,6.0,-5.2273813488449964e-12,2.3088014508045574e-11,-3.883384821596984e-11,-2.1387949150743012e-11,3.7770213461621146e-12,1.2107270479687089e-11,1.4807769889424942e-11
