target,model,n,mae,rmse,r2,prediction_correlation
task_alpha_power_diff,linear_regression,6,9.098345595221418e-10,9.80285334827354e-10,-4.444092720822328,-0.05569999563781703
task_alpha_power_diff,ridge_regression,6,4.769785266200739e-10,5.317009004392032e-10,-0.6016045490331876,0.37246116344173563
task_alpha_power_diff,random_forest,6,4.4875865020821066e-10,5.051978783983965e-10,-0.4459175803272626,-0.9990949305406436
task_beta_power_diff,linear_regression,6,1.6901264135087958e-10,1.8127664821899666e-10,-22.333557808560872,-0.7372577999216483
task_beta_power_diff,ridge_regression,6,8.129188399015156e-11,9.071243065823927e-11,-4.842932194389422,-0.631050962431699
task_beta_power_diff,random_forest,6,4.001998574081794e-11,4.492889233262145e-11,-0.43333815464227254,-0.9964980232489162
task_gamma_power_diff,linear_regression,6,6.943649846885064e-11,7.42925122485038e-11,-11.425050479517633,-0.21149245075576498
task_gamma_power_diff,ridge_regression,6,3.185659193367756e-11,3.4581701685537156e-11,-1.6921595393584936,0.2658778155260506
task_gamma_power_diff,random_forest,6,2.316815884789014e-11,2.541309576004782e-11,-0.4538621111913477,-0.9960692408957414
